booking_id,room_id,organizer_id,meeting_title,meeting_type,start_datetime,end_datetime,duration_minutes,participant_count,status,created_datetime,natural_language_request,ai_match_score,notes
1,1,1,产品架构评审会,产品评审,2024-01-15 09:00:00,2024-01-15 10:30:00,90,8,已完成,2024-01-14 16:30:00,明天上午需要一个8人的产品评审会议室，需要投影仪,95,会议顺利进行
2,3,2,测试用例讨论,技术讨论,2024-01-15 14:00:00,2024-01-15 15:30:00,90,10,已完成,2024-01-14 11:20:00,需要一个10人的大会议室进行测试讨论,92,讨论热烈
3,5,4,用户体验设计回顾,产品设计,2024-01-16 10:00:00,2024-01-16 12:00:00,120,12,已完成,2024-01-15 18:45:00,需要培训室开设计回顾会，大概12个人参加,88,设计方案获得认可
4,9,7,市场推广策略会议,市场讨论,2024-01-17 09:30:00,2024-01-17 11:00:00,90,10,已完成,2024-01-16 14:15:00,需要一个配备展示设备的会议室讨论市场策略,94,制定了详细的推广计划
5,2,11,代码评审会,技术评审,2024-01-17 15:00:00,2024-01-17 16:00:00,60,6,已完成,2024-01-17 09:30:00,下午需要一个6人的小会议室进行代码评审,90,评审通过
6,13,5,运营数据分析会,数据分析,2024-01-18 10:30:00,2024-01-18 11:30:00,60,8,已完成,2024-01-17 16:20:00,需要一个8人的会议室分析运营数据,89,数据分析结果良好
7,18,8,客户需求调研会,客户会议,2024-01-18 14:00:00,2024-01-18 16:00:00,120,10,已完成,2024-01-17 12:40:00,需要一个销售会议室与客户讨论需求,96,客户需求明确
8,6,3,技术架构讨论,技术讨论,2024-01-19 09:00:00,2024-01-19 10:00:00,60,6,已完成,2024-01-18 15:30:00,需要视频会议室进行技术架构讨论,93,架构方案确定
9,12,6,设计系统培训,团队培训,2024-01-19 14:30:00,2024-01-19 16:30:00,120,12,已完成,2024-01-18 10:25:00,需要培训室给设计团队做系统培训,91,培训效果良好
10,1,1,周度项目进展会,项目会议,2024-01-20 09:00:00,2024-01-20 10:00:00,60,8,已完成,2024-01-19 17:00:00,每周定期的项目进展会议,95,项目进展顺利
11,15,4,产品路线图规划,产品规划,2024-01-20 10:30:00,2024-01-20 12:00:00,90,10,已完成,2024-01-19 14:20:00,需要大会议室规划产品路线图,92,路线图规划完成
12,20,7,品牌推广方案讨论,品牌会议,2024-01-20 15:00:00,2024-01-20 16:30:00,90,8,已完成,2024-01-19 11:45:00,需要讨论品牌推广方案，8人参加,87,方案获得通过
13,4,13,一对一绩效面谈,绩效面谈,2024-01-21 10:00:00,2024-01-21 11:00:00,60,2,已完成,2024-01-20 16:30:00,需要一个安静的小会议室进行绩效面谈,98,面谈顺利完成
14,11,16,产品功能讨论,产品讨论,2024-01-21 14:00:00,2024-01-21 15:30:00,90,6,已完成,2024-01-20 13:15:00,需要6人的会议室讨论产品功能,89,功能需求明确
15,19,23,销售培训会,销售培训,2024-01-21 16:00:00,2024-01-21 17:30:00,90,5,已完成,2024-01-20 10:50:00,需要小会议室进行销售技巧培训,86,培训内容丰富
16,7,12,技术分享会,技术分享,2024-01-22 10:00:00,2024-01-22 11:30:00,90,8,已完成,2024-01-21 15:40:00,需要一个8人的会议室进行技术分享,94,分享内容受到好评
17,13,18,运营策略讨论,运营会议,2024-01-22 14:30:00,2024-01-22 15:30:00,60,8,已完成,2024-01-21 09:20:00,需要标准会议室讨论运营策略,91,策略方向明确
18,16,21,市场调研结果汇报,市场汇报,2024-01-22 16:00:00,2024-01-22 17:00:00,60,8,已完成,2024-01-21 12:30:00,需要会议室汇报市场调研结果,93,调研结果详实
19,2,14,测试计划讨论,测试计划,2024-01-23 09:30:00,2024-01-23 10:30:00,60,6,已完成,2024-01-22 16:45:00,需要小会议室制定测试计划,88,测试计划制定完成
20,21,24,客户反馈收集会,客户反馈,2024-01-23 11:00:00,2024-01-23 12:00:00,60,3,已完成,2024-01-22 14:20:00,需要紧凑的会议室收集客户反馈,85,反馈收集完整
21,10,19,数据分析报告会,数据报告,2024-01-23 15:00:00,2024-01-23 16:00:00,60,8,已完成,2024-01-22 11:35:00,需要标准会议室做数据分析报告,90,报告内容详细
22,5,6,UI设计评审,设计评审,2024-01-24 10:00:00,2024-01-24 11:30:00,90,12,已完成,2024-01-23 17:10:00,需要培训室进行UI设计评审,92,设计方案通过
23,18,22,销售目标制定会,销售规划,2024-01-24 14:00:00,2024-01-24 15:30:00,90,10,已完成,2024-01-23 13:25:00,需要销售会议室制定销售目标,95,目标制定完成
24,9,4,产品发布准备会,产品发布,2024-01-24 16:00:00,2024-01-24 17:30:00,90,10,已完成,2024-01-23 10:40:00,需要产品评审室准备产品发布,94,发布准备就绪
25,1,1,团队建设活动讨论,团队建设,2024-01-25 09:00:00,2024-01-25 10:00:00,60,8,已完成,2024-01-24 16:20:00,需要会议室讨论团队建设活动,87,活动计划制定
26,3,3,系统架构优化讨论,架构优化,2024-01-25 14:00:00,2024-01-25 15:30:00,90,10,已完成,2024-01-24 12:15:00,需要大会议室讨论系统架构优化,96,优化方案确定
