requirement_id,user_id,original_request,parsed_datetime,parsed_capacity,parsed_duration,parsed_equipment,parsed_location,parsed_meeting_type,ai_analysis,recommended_rooms,match_score,booking_id,created_datetime,status
1,1,"明天上午需要一个8人的产品评审会议室，需要投影仪","2024-01-15 09:00:00",8,90,"投影仪","任意","产品评审","解析出时间为1月15日上午、人数8人、需要投影仪设备、会议类型为产品评审","1;3;9",95,1,"2024-01-14 16:30:00","已预订"
2,2,"需要一个10人的大会议室进行测试讨论","",10,90,"无","任意","技术讨论","解析出人数10人、会议类型为技术讨论、需要大会议室","3;15;9",92,2,"2024-01-14 11:20:00","已预订"
3,4,"需要培训室开设计回顾会，大概12个人参加","",12,120,"投影仪","任意","设计回顾","解析出人数12人、会议类型为设计回顾、需要培训室","5;12",88,3,"2024-01-15 18:45:00","已预订"
4,7,"需要一个配备展示设备的会议室讨论市场策略","",10,90,"展示设备","任意","市场讨论","解析出人数约10人、需要展示设备、会议类型为市场讨论","9;18;1",94,4,"2024-01-16 14:15:00","已预订"
5,11,"下午需要一个6人的小会议室进行代码评审","",6,60,"无","任意","代码评审","解析出人数6人、会议类型为代码评审、需要小会议室","2;4;11",90,5,"2024-01-17 09:30:00","已预订"
6,5,"需要一个8人的会议室分析运营数据","",8,60,"无","任意","数据分析","解析出人数8人、会议类型为数据分析、需要标准会议室","13;1;7",89,6,"2024-01-17 16:20:00","已预订"
7,8,"需要一个销售会议室与客户讨论需求","",10,120,"展示设备","任意","客户会议","解析出人数约10人、会议类型为客户会议、需要销售会议室","18;9;20",96,7,"2024-01-17 12:40:00","已预订"
8,3,"需要视频会议室进行技术架构讨论","",6,60,"视频会议设备","任意","技术讨论","解析出人数6人、需要视频会议设备、会议类型为技术讨论","6",93,8,"2024-01-18 15:30:00","已预订"
9,6,"需要培训室给设计团队做系统培训","",12,120,"投影仪","任意","团队培训","解析出人数12人、会议类型为团队培训、需要培训室","12;5",91,9,"2024-01-18 10:25:00","已预订"
10,1,"每周定期的项目进展会议","",8,60,"无","任意","项目会议","解析出人数8人、会议类型为项目会议、定期会议","1;7;13",95,10,"2024-01-19 17:00:00","已预订"
11,4,"需要大会议室规划产品路线图","",10,90,"投影仪","任意","产品规划","解析出人数10人、会议类型为产品规划、需要大会议室","15;3;9",92,11,"2024-01-19 14:20:00","已预订"
12,7,"需要讨论品牌推广方案，8人参加","",8,90,"无","任意","品牌讨论","解析出人数8人、会议类型为品牌讨论","20;1;7",87,12,"2024-01-19 11:45:00","已预订"
13,13,"需要一个安静的小会议室进行绩效面谈","",2,60,"无","任意","绩效面谈","解析出人数2人、会议类型为绩效面谈、需要安静的小会议室","4;19;21",98,13,"2024-01-20 16:30:00","已预订"
14,16,"需要6人的会议室讨论产品功能","",6,90,"无","任意","产品讨论","解析出人数6人、会议类型为产品讨论","11;2;17",89,14,"2024-01-20 13:15:00","已预订"
15,23,"需要小会议室进行销售技巧培训","",5,90,"无","任意","销售培训","解析出人数5人、会议类型为销售培训、需要小会议室","19;4;21",86,15,"2024-01-20 10:50:00","已预订"
16,12,"需要一个8人的会议室进行技术分享","",8,90,"投影仪","任意","技术分享","解析出人数8人、会议类型为技术分享、需要投影仪","7;1;13",94,16,"2024-01-21 15:40:00","已预订"
17,18,"需要标准会议室讨论运营策略","",8,60,"无","任意","运营讨论","解析出人数8人、会议类型为运营讨论、需要标准会议室","13;1;7",91,17,"2024-01-21 09:20:00","已预订"
18,21,"需要会议室汇报市场调研结果","",8,60,"投影仪","任意","市场汇报","解析出人数8人、会议类型为市场汇报、需要投影仪","16;1;7",93,18,"2024-01-21 12:30:00","已预订"
19,14,"需要小会议室制定测试计划","",6,60,"无","任意","测试计划","解析出人数6人、会议类型为测试计划、需要小会议室","2;11;17",88,19,"2024-01-22 16:45:00","已预订"
20,24,"需要紧凑的会议室收集客户反馈","",3,60,"无","任意","客户反馈","解析出人数3人、会议类型为客户反馈、需要紧凑会议室","21;4;19",85,20,"2024-01-22 14:20:00","已预订"
21,19,"需要标准会议室做数据分析报告","",8,60,"投影仪","任意","数据报告","解析出人数8人、会议类型为数据报告、需要投影仪","10;1;7",90,21,"2024-01-22 11:35:00","已预订"
22,6,"需要培训室进行UI设计评审","",12,90,"投影仪","任意","设计评审","解析出人数12人、会议类型为设计评审、需要培训室","5;12",92,22,"2024-01-23 17:10:00","已预订"
23,22,"需要销售会议室制定销售目标","",10,90,"展示设备","任意","销售规划","解析出人数10人、会议类型为销售规划、需要销售会议室","18;9;20",95,23,"2024-01-23 13:25:00","已预订"
24,4,"需要产品评审室准备产品发布","",10,90,"投影仪","任意","产品发布","解析出人数10人、会议类型为产品发布、需要产品评审室","9;18;15",94,24,"2024-01-23 10:40:00","已预订"
25,1,"需要会议室讨论团队建设活动","",8,60,"无","任意","团队建设","解析出人数8人、会议类型为团队建设","1;7;13",87,25,"2024-01-24 16:20:00","已预订"
26,3,"需要大会议室讨论系统架构优化","",10,90,"投影仪","任意","架构优化","解析出人数10人、会议类型为架构优化、需要大会议室","3;15;9",96,26,"2024-01-24 12:15:00","已预订"
27,17,"需要小会议室进行产品需求评审","",4,60,"无","任意","需求评审","解析出人数4人、会议类型为需求评审、需要小会议室","14;4;19",89,27,"2024-01-24 14:50:00","已预订"
28,15,"需要视频会议室讨论技术选型","",6,60,"视频会议设备","任意","技术选型","解析出人数6人、会议类型为技术选型、需要视频会议设备","6",93,28,"2024-01-25 15:30:00","已预订"
29,5,"需要培训室讨论用户增长策略","",12,90,"投影仪","任意","增长策略","解析出人数12人、会议类型为增长策略、需要培训室","12;5",91,29,"2024-01-25 11:20:00","已预订"
30,8,"需要会议室进行客户满意度调研","",8,60,"无","任意","客户调研","解析出人数8人、会议类型为客户调研","20;1;7",88,30,"2024-01-25 13:45:00","已预订"
31,11,"需要会议室讨论代码质量改进","",8,60,"无","任意","代码质量","解析出人数8人、会议类型为代码质量改进","7;1;13",94,31,"2024-01-26 16:00:00","已确认"
32,20,"需要标准会议室讨论设计规范","",8,60,"无","任意","设计规范","解析出人数8人、会议类型为设计规范、需要标准会议室","13;1;7",90,32,"2024-01-26 14:30:00","已确认"
33,7,"需要产品评审室进行市场竞争分析","",10,90,"投影仪","任意","竞争分析","解析出人数10人、会议类型为竞争分析、需要产品评审室","9;18;15",92,33,"2024-01-26 11:45:00","已确认"
34,13,"需要小会议室进行单元测试培训","",6,60,"无","任意","技术培训","解析出人数6人、会议类型为技术培训、需要小会议室","2;11;17",87,34,"2024-01-26 15:20:00","已确认"
35,4,"需要大会议室进行产品发布后评估","",10,90,"投影仪","任意","产品评估","解析出人数10人、会议类型为产品评估、需要大会议室","15;3;9",95,35,"2024-01-27 10:30:00","已确认"
36,23,"需要销售会议室分析销售数据","",10,60,"无","任意","销售分析","解析出人数10人、会议类型为销售分析、需要销售会议室","18;9;20",89,36,"2024-01-27 16:15:00","已确认"
37,1,"需要会议室进行月度工作总结","",8,60,"无","任意","月度总结","解析出人数8人、会议类型为月度总结","1;7;13",93,37,"2024-01-27 13:40:00","已确认"
38,25,"需要小会议室进行HR政策说明","",2,60,"无","任意","HR会议","解析出人数2人、会议类型为HR会议、需要小会议室","4;19;21",86,38,"2024-01-28 14:20:00","已确认"
39,16,"需要会议室更新产品路线图","",6,60,"无","任意","产品规划","解析出人数6人、会议类型为产品规划","11;2;17",88,39,"2024-01-28 11:50:00","已确认"
40,12,"需要视频会议室讨论技术债务","",6,60,"视频会议设备","任意","技术讨论","解析出人数6人、会议类型为技术讨论、需要视频会议设备","6",91,40,"2024-01-28 15:30:00","已确认"
41,2,"需要大会议室制定新功能测试计划","",10,90,"投影仪","任意","测试计划","解析出人数10人、会议类型为测试计划、需要大会议室","3;15;9",94,41,"2024-01-29 16:45:00","待确认"
42,6,"需要培训室规划设计系统2.0","",12,90,"投影仪","任意","设计规划","解析出人数12人、会议类型为设计规划、需要培训室","5;12",92,42,"2024-01-29 13:20:00","待确认"
43,7,"需要会议室讨论品牌升级方案","",8,90,"无","任意","品牌讨论","解析出人数8人、会议类型为品牌讨论","20;1;7",89,43,"2024-01-29 10:35:00","待确认"
44,18,"需要小会议室讨论运营自动化","",4,60,"无","任意","运营优化","解析出人数4人、会议类型为运营优化、需要小会议室","14;4;19",87,44,"2024-01-29 14:50:00","待确认"
45,8,"需要产品评审室制定Q1销售策略","",10,90,"投影仪","任意","销售策略","解析出人数10人、会议类型为销售策略、需要产品评审室","9;18;15",95,45,"2024-01-30 11:25:00","待确认"
46,24,"需要小会议室分享客户成功案例","",5,60,"无","任意","案例分享","解析出人数5人、会议类型为案例分享、需要小会议室","19;4;21",88,46,"2024-01-30 15:40:00","待确认"
47,1,"需要会议室制定团队OKR","",8,60,"无","任意","OKR制定","解析出人数8人、会议类型为OKR制定","1;7;13",91,47,"2024-01-30 12:30:00","待确认"
48,15,"需要会议室进行架构安全评估","",8,60,"无","任意","安全评估","解析出人数8人、会议类型为安全评估","7;1;13",93,48,"2024-01-31 09:45:00","待确认"
49,5,"需要培训室讨论用户体验优化","",12,90,"投影仪","任意","体验优化","解析出人数12人、会议类型为体验优化、需要培训室","12;5",90,49,"2024-01-31 16:20:00","待确认"
50,26,"需要紧凑会议室进行财务预算评审","",3,60,"无","任意","财务评审","解析出人数3人、会议类型为财务评审、需要紧凑会议室","21;4;19",85,50,"2024-01-31 14:15:00","待确认"
51,27,"明天下午2点需要一个能容纳15人的会议室开产品发布会","2024-02-01 14:00:00",15,120,"投影仪","任意","产品发布会","解析出时间为明天下午2点、人数15人、会议类型为产品发布会、需要投影仪","15;3;9",88,"","2024-01-31 16:45:00","待匹配"
52,20,"需要B座的会议室进行设计评审，大概8个人参加","",8,90,"投影仪","B座","设计评审","解析出人数8人、位置需要B座、会议类型为设计评审、需要投影仪","9;10;11",92,"","2024-01-31 17:20:00","待匹配"
53,14,"今天下午需要一个小会议室进行一对一沟通","2024-01-31 15:00:00",2,60,"无","任意","一对一沟通","解析出时间为今天下午、人数2人、会议类型为一对一沟通","4;19;21",95,"","2024-01-31 14:30:00","待匹配"
54,8,"需要一个配备视频会议系统的会议室与海外客户开会","",8,90,"视频会议设备","任意","客户会议","解析出人数8人、需要视频会议系统、会议类型为客户会议","6",94,"","2024-01-31 18:15:00","待匹配"
55,22,"下周一上午需要销售会议室开季度总结会","2024-02-05 09:00:00",12,120,"投影仪","任意","季度总结","解析出时间为下周一上午、人数12人、会议类型为季度总结、需要销售会议室","18;9;20",90,"","2024-02-01 10:30:00","待匹配"
